"","series","episode","baker","result"
"1",5,1,"Nancy","STAR BAKER"
"2",5,2,"Richard","STAR BAKER"
"3",5,3,"Luis","STAR BAKER"
"4",5,4,"Richard","STAR BAKER"
"5",5,5,"Kate","STAR BAKER"
"6",5,6,"Chetna","STAR BAKER"
"7",5,7,"Richard","STAR BAKER"
"8",5,8,"Richard","STAR BAKER"
"9",5,9,"Richard","STAR BAKER"
"10",5,10,"Nancy","WINNER"
"11",6,1,"Marie","STAR BAKER"
"12",6,2,"Ian","STAR BAKER"
"13",6,3,"Ian","STAR BAKER"
"14",6,4,"Ian","STAR BAKER"
"15",6,5,"Nadiya","STAR BAKER"
"16",6,6,"Mat","STAR BAKER"
"17",6,7,"Tamal","STAR BAKER"
"18",6,8,"Nadiya","STAR BAKER"
"19",6,9,"Nadiya","STAR BAKER"
"20",6,10,"Nadiya","WINNER"
"21",7,1,"Jane","STAR BAKER"
"22",7,2,"Candice","STAR BAKER"
"23",7,3,"Tom","STAR BAKER"
"24",7,4,"Benjamina","STAR BAKER"
"25",7,5,"Candice","STAR BAKER"
"26",7,6,"Tom","STAR BAKER"
"27",7,7,"Andrew","STAR BAKER"
"28",7,8,"Candice","STAR BAKER"
"29",7,9,"Andrew","STAR BAKER"
"30",7,10,"Candice","WINNER"
"31",8,1,"Steven","STAR BAKER"
"32",8,2,"Steven","STAR BAKER"
"33",8,3,"Julia","STAR BAKER"
"34",8,4,"Kate","STAR BAKER"
"35",8,5,"Sophie","STAR BAKER"
"36",8,6,"Liam","STAR BAKER"
"37",8,7,"Steven","STAR BAKER"
"38",8,8,"Stacey","STAR BAKER"
"39",8,9,"Sophie","STAR BAKER"
"40",8,10,"Sophie","WINNER"
